"date","close","volume","open","high","low"
"2019/06/11","4517.5040","0.0000","4575.9080","4580.5160","4495.6990"
"2019/06/10","4515.8830","0.0000","4485.7180","4559.5080","4485.4840"
"2019/06/07","4435.7970","0.0000","4398.0370","4453.1640","4390.1520"
"2019/06/06","4375.4530","0.0000","4338.5490","4388.8240","4321.6910"
"2019/06/05","4329.2070","0.0000","4359.9880","4372.1210","4279.1680"
"2019/06/04","4320.9800","0.0000","4230.6800","4322.7850","4199.2930"
"2019/06/03","4170.0200","0.0000","4255.1780","4264.9770","4145.4450"
"2019/05/31","4237.2810","0.0000","4247.3010","4287.2770","4236.7070"
"2019/05/30","4307.4100","0.0000","4295.1970","4328.7930","4277.2300"
"2019/05/29","4283.2150","0.0000","4263.5380","4306.3830","4252.7190"
"2019/05/28","4307.4060","0.0000","4344.1710","4369.6950","4305.7030"
"2019/05/24","4326.5700","0.0000","4363.8770","4383.0470","4323.4300"
"2019/05/23","4337.0740","0.0000","4338.0210","4343.5470","4299.1680"
"2019/05/22","4415.9300","0.0000","4410.8060","4439.8870","4406.5160"
"2019/05/21","4459.2460","0.0000","4449.9960","4471.2930","4432.0120"
"2019/05/20","4380.0200","0.0000","4408.0530","4429.0160","4359.6170"
"2019/05/17","4511.4140","0.0000","4523.2470","4593.8280","4502.3710"
"2019/05/16","4586.1050","0.0000","4552.6840","4620.1170","4546.5470"
"2019/05/15","4574.6480","0.0000","4484.4250","4593.2700","4482.9650"
"2019/05/14","4521.7580","0.0000","4470.6480","4546.6130","4465.8950"
"2019/05/13","4434.7700","0.0000","4490.7840","4524.8010","4422.0350"
"2019/05/10","4630.4800","0.0000","4589.1230","4651.0900","4523.6130"
"2019/05/09","4631.5000","0.0000","4585.8220","4648.7420","4535.1450"
"2019/05/08","4659.4490","0.0000","4653.1380","4700.1250","4641.3520"
"2019/05/07","4681.5000","0.0000","4734.0660","4750.6020","4637.0200"
"2019/05/06","4802.2030","0.0000","4711.3270","4808.7930","4709.8830"
"2019/05/03","4862.3790","0.0000","4841.0920","4864.3090","4819.9960"
"2019/05/02","4831.9960","0.0000","4821.2640","4886.8090","4799.3830"
"2019/05/01","4822.6720","0.0000","4905.2520","4919.3090","4822.0080"
"2019/04/30","4867.4490","0.0000","4835.6730","4871.5040","4814.9610"
"2019/04/29","4843.0900","0.0000","4841.8370","4862.8630","4830.2730"
"2019/04/26","4844.7580","0.0000","4795.5340","4845.1560","4760.2810"
"2019/04/25","4848.4880","0.0000","4891.1480","4894.0230","4807.3550"
"2019/04/24","4880.4840","0.0000","4874.9900","4917.5820","4871.3280"
"2019/04/23","4871.5120","0.0000","4834.5420","4881.4880","4832.9880"
"2019/04/22","4814.4380","0.0000","4795.9280","4817.8010","4785.4730"
"2019/04/18","4813.0820","0.0000","4814.5990","4815.4260","4774.9800"
"2019/04/17","4820.5980","0.0000","4862.5070","4870.2580","4802.3480"
"2019/04/16","4809.8010","0.0000","4772.3630","4810.4650","4769.2930"
"2019/04/15","4749.9060","0.0000","4766.5900","4768.4380","4721.2110"
"2019/04/12","4766.1450","0.0000","4756.3580","4766.1450","4736.9410"
"2019/04/11","4719.1370","0.0000","4729.8770","4742.6640","4710.8360"
"2019/04/10","4722.5740","0.0000","4694.0470","4728.9180","4690.5470"
"2019/04/09","4691.0310","0.0000","4707.0840","4711.6480","4682.7770"
"2019/04/08","4717.3200","0.0000","4692.8520","4718.6910","4665.2150"
"2019/04/05","4701.3400","0.0000","4690.4950","4702.5550","4674.0120"
"2019/04/04","4665.7700","0.0000","4683.3030","4705.1800","4633.8790"
"2019/04/03","4688.7150","0.0000","4660.3050","4720.7850","4657.6450"
"2019/04/02","4610.9180","0.0000","4596.7660","4616.3750","4580.4340"
"2019/04/01","4594.9800","0.0000","4554.9780","4598.2810","4536.0080"
"2019/03/29","4493.1910","0.0000","4475.9060","4497.5900","4462.7110"
"2019/03/28","4427.8280","0.0000","4433.0900","4459.2380","4397.7970"
"2019/03/27","4422.8480","0.0000","4488.0940","4494.3710","4389.8520"
"2019/03/26","4481.1990","0.0000","4495.5990","4517.7460","4455.7380"
"2019/03/25","4451.7620","0.0000","4452.9390","4483.5510","4415.9450"
"2019/03/22","4479.0200","0.0000","4581.3530","4589.2150","4477.0780"
"2019/03/21","4606.4880","0.0000","4482.7870","4623.0940","4482.7890"
"2019/03/20","4477.0350","0.0000","4501.2880","4510.6170","4443.0550"
"2019/03/19","4499.1800","0.0000","4489.9870","4511.1290","4482.3830"
